Name;SerialNumber
"21.45"" монитор LG 22MP410-B (1920 x 1080 VA 75 Гц, 250 кд / м2, HDMI)";DP-0000001
"21.5"" монитор Acer B227Q bmiprx (с поворотом экрана, 1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI, DP)";DP-0000002
"21.5"" монитор Acer K222HQL b (1920 x 1080 TN 60 Гц, 200 кд / м2)";DP-0000003
"21.5"" монитор Acer K222HQL bd (1920 x 1080 TN, 200 кд / м2, D-Sub)";DP-0000004
"21.5"" монитор Acer K222HQL bid (1920 x 1080 TN 60 Гц, 200 кд / м2, HDMI)";DP-0000005
"21.5"" монитор Acer QG221Q bi (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000006
"21.5"" монитор Acer SA220Q Abi (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000007
"21.5"" монитор Acer V226HQL Bb (1920 x 1080 TN 60 Гц, 200 кд / м2, D-Sub)";DP-0000008
"21.5"" монитор Acer V226HQL Bb (1920 x 1080 TN 75 Гц, 200 кд / м2)";DP-0000009
"21.5"" монитор Acer V226HQL bbd (1920 x 1080 TN 60 Гц, 200 кд / м2)";DP-0000010
"21.5"" монитор Acer V226HQL Bbi (1920 x 1080 TN 75 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000011
"21.5"" монитор Acer V227Q bi (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000012
"21.5"" монитор AOC 22B2AM (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000013
"21.5"" монитор AOC 22B2DA (1920 x 1080 VA 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000014
"21.5"" монитор AOC 22B2H (1920 x 1080 VA 75 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000015
"21.5"" монитор AOC 22B2QAM (1920 x 1080 VA 75 Гц, 250 кд / м2, HDMI, DP)";DP-0000016
"21.5"" монитор AOC 22V2Q (1920 x 1080 IPS 75 Гц, 250 кд / м2, HDMI, DP)";DP-0000017
"21.5"" монитор AOC E2270SWDN (1920 x 1080 TN 76 Гц, 200 кд / м2, D-Sub)";DP-0000018
"21.5"" монитор AOC E2270SWHN (1920 x 1080 TN 60 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000019
"21.5"" монитор AOC E2270Swn (1920 x 1080 TN 75 Гц, 200 кд / м2, D-Sub)";DP-0000020
"21.5"" монитор Aopen 22CV1Q bi (1920 x 1080 VA 75 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000021
"21.5"" монитор Aopen 22MH1Q Sbipx (1920 x 1080 TN 144 Гц, 250 кд / м2, HDMI, DP)";DP-0000022
"21.5"" монитор ASUS VP228DE BK (1920 x 1080 TN 60 Гц, 200 кд / м2, D-Sub)";DP-0000023
"21.5"" монитор ASUS VP228HE (1920 x 1080 TN 60 Гц, 200 кд / м2, D-Sub, HDMI)";DP-0000024
"21.5"" монитор ASUS VP229HE (1920 x 1080 IPS 75 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000025
"21.5"" монитор BenQ GW2280 (1920 x 1080 VA 60 Гц, 250 кд / м2, D-Sub, HDMI)";DP-0000026
"21.5"" монитор BenQ GW2283 (1920 x 1080 IPS 60 Гц, 250 кд / м2, HDMI)";DP-0000027
