Name;SerialNumber
"Ноутбук Acer Aspire 1 A114-33-P1T1 <NX.A7VER.00E> (Intel Pentium N6000, 4 ГБ, WiFi, BT, Win10, 14"")";LT-0000001
"Ноутбук Acer Aspire 1 A114-33-P7VD <NX.A7VER.00A> (Intel Pentium N6000, 4 ГБ, WiFi, BT, noOS, 14"")";LT-0000002
"Ноутбук Acer Aspire 3 A314-22-R84Y (AMD Athlon Silver 3050U, 4 ГБ, 500 ГБ HDD, WiFi, BT, Win10, 14"")";LT-0000003
"Ноутбук Acer Aspire 3 A315-22-495T <NX.HE8ER.02A> (AMD A4-9120e APU, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000004
"Ноутбук Acer Aspire 3 A315-23-R0BD <NX.HVTER.02J> (AMD Ryzen 5 3500U, 8 ГБ, 512 ГБ SSD, WiFi, BT, Win11, 15"")";LT-0000005
"Ноутбук Acer Aspire 3 A315-23-R2V5 <NX.HVTER.01W> (AMD Ryzen 3 3250U, 8 ГБ, 128 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000006
"Ноутбук Acer Aspire 3 A315-23-R56G <NX.HVUER.00M> (AMD Ryzen 3 3250U, 4 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000007
"Ноутбук Acer Aspire 3 A315-23-R5HA <NX.HVTER.01D> (AMD Ryzen 3 3250U, 8 ГБ, 128 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000008
"Ноутбук Acer Aspire 3 A315-23-R8WC <NX.HVTER.01L> (AMD Ryzen 5 3500U, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000009
"Ноутбук Acer Aspire 3 A315-23-R9P7 <NX.HVTER.00M> (AMD Ryzen 3 3250U, 8 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000010
"Ноутбук Acer Aspire 3 A315-34-C6GU <NX.HE3EU.058> (Intel Celeron N4020, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000011
"Ноутбук Acer Aspire 3 A315-34-P0X8 <NX.HE3EU.05A> (Intel Pentium Silver N5030, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000012
"Ноутбук Acer Aspire 3 A315-34-P1QV <NX.HE3ER.016> (Intel Pentium Silver N5030, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000013
"Ноутбук Acer Aspire 3 A315-34-P3CS <NX.HE3ER.00Q> (Intel Pentium Silver N5030, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000014
"Ноутбук Acer Aspire 3 A315-56-32MF <NX.HS5ER.00P> (Intel Core i3 1005G1, 4 ГБ, 128 ГБ SSD, 1 ТБ HDD, WiFi, BT, Win10, 15"")";LT-0000015
"Ноутбук Acer Aspire 3 A315-56-334Q <NX.HS5ER.015> (Intel Core i3 1005G1, 4 ГБ, 128 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000016
"Ноутбук Acer Aspire 3 A315-56-33Z3 <NX.HS6ER.00J> (Intel Core i3 1005G1, 8 ГБ, 512 ГБ SSD, WiFi, noOS, 15"")";LT-0000017
"Ноутбук Acer Aspire 3 A315-56-34DD <NX.HS5ER.011> (Intel Core i3 1005G1, 8 ГБ, 128 ГБ SSD, 1 ТБ HDD, WiFi, BT, noOS, 15"")";LT-0000018
"Ноутбук Acer Aspire 3 A315-56-38MN <NX.HS5ER.00B> (Intel Core i3 1005G1, 8 ГБ, 256 ГБ SSD, WiFi, Linux, 15"")";LT-0000019
"Ноутбук Acer Aspire 3 A315-56-536B <NX.HS5ER.01U> (Intel Core i5 1035G1, 12 ГБ, 512 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000020
"Ноутбук Acer Aspire 3 A317-32-C65A <NX.HF2ER.00C> (Intel Celeron N4020, 4 ГБ, 256 ГБ SSD, WiFi, BT, Win10, 17"")";LT-0000021
"Ноутбук Acer Aspire 5 A515-45-R0KR <NX.A85ER.00P> (AMD Ryzen 3 5300U, 8 ГБ, 128 ГБ SSD, WiFi, noOS, 15"")";LT-0000022
"Ноутбук Acer Aspire A317-52-597B <NX.HZWER.00M> (Intel Core i5 1035G1, 8 ГБ, 256 ГБ SSD, WiFi, BT, Win10Pro, 17"")";LT-0000023
"Ноутбук Acer Extensa 15 15 EX215-32-C07Z <NX.EGNER.007> (Intel Celeron N4500, 4 ГБ, 128 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000024
"Ноутбук Acer Extensa 15 EX 215-22-A2AZ <NX.EG9ER.00N> (AMD 3020e, 4 ГБ, 256 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000025
"Ноутбук Acer Extensa 15 EX 215-22-A2DW <NX.EG9ER.00B> (AMD 3020e, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000026
"Ноутбук Acer Extensa 15 EX 215-22-R0A4 <NX.EG9ER.00F> (AMD Ryzen 3 3250U, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000027
"Ноутбук Acer Extensa 15 EX 215-22-R0VC <NX.EG9ER.00E> (AMD Ryzen 3 3250U, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000028
"Ноутбук Acer Extensa 15 EX 215-22-R0Y1 <NX.EG9ER.01A> (AMD Ryzen 5 3500U, 4 ГБ, 512 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000029
"Ноутбук Acer Extensa 15 EX 215-22-R19H <NX.EG9ER.00Z> (AMD Ryzen 5 3500U, 4 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000030
"Ноутбук Acer Extensa 15 EX 215-22-R1RG <NX.EG9ER.01L> (AMD Ryzen 5 3500U, 8 ГБ, 256 ГБ SSD, WiFi, BT, Win10Pro, 15"")";LT-0000031
"Ноутбук Acer Extensa 15 EX 215-22-R1SJ <NX.EG9ER.00D> (AMD Ryzen 5 3500U, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000032
"Ноутбук Acer Extensa 15 EX 215-22-R2BT <NX.EG9ER.00T> (AMD Athlon Silver 3050U, 4 ГБ, 128 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000033
"Ноутбук Acer Extensa 15 EX 215-22-R2H8 <NX.EG9ER.00G> (AMD Ryzen 3 3250U, 4 ГБ, 128 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000034
"Ноутбук Acer Extensa 15 EX 215-22-R4ZE <NX.EG9ER.00S> (AMD Athlon Silver 3050U, 4 ГБ, 256 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000035
"Ноутбук Acer Extensa 15 EX 215-22-R53Z <NX.EG9ER.00J> (AMD Athlon Silver 3050U, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000036
"Ноутбук Acer Extensa 15 EX 215-22-R58J <NX.EG9ER.014> (AMD Ryzen 5 3500U, 16 ГБ, 512 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000037
"Ноутбук Acer Extensa 15 EX 215-22-R5HL <NX.EG9ER.01D> (AMD Ryzen 5 3500U, 4 ГБ, 1 ТБ HDD, WiFi, BT, noOS, 15"")";LT-0000038
"Ноутбук Acer Extensa 15 EX 215-22-R5U7 <NX.EG9ER.007> (AMD Athlon Silver 3050U, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000039
"Ноутбук Acer Extensa 15 EX 215-22-R6NL <NX.EG9ER.00Y> (AMD Ryzen 5 3500U, 8 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000040
"Ноутбук Acer Extensa 15 EX 215-22-R842 <NX.EG9ER.00C> (AMD Ryzen 5 3500U, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000041
"Ноутбук Acer Extensa 15 EX 215-22-R8HK <NX.EG9ER.00U> (AMD Ryzen 5 3500U, 16 ГБ, 1 ТБ SSD, WiFi, BT, noOS, 15"")";LT-0000042
"Ноутбук Acer Extensa 15 EX 215-22-R9VD <NX.EG9ER.017> (AMD Ryzen 3 3250U, 16 ГБ, 512 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000043
"Ноутбук Acer Extensa 15 EX 215-31-C3FF <NX.EFTER.00D> (Intel Celeron N4020, 4 ГБ, 128 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000044
"Ноутбук Acer Extensa 15 EX 215-31-C6FV <NX.EFTER.00P> (Intel Celeron N4020, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000045
"Ноутбук Acer Extensa 15 EX 215-31-P3UX <NX.EFTER.00J> (Intel Pentium Silver N5030, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000046
"Ноутбук Acer Extensa 15 EX 215-31-P5LC <NX.EFTER.00N> (Intel Pentium Silver N5030, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000047
"Ноутбук Acer Extensa 15 EX 215-31-P8S2 <NX.EFTER.00K> (Intel Pentium Silver N5030, 4 ГБ, 256 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000048
"Ноутбук Acer Extensa 15 EX 215-52-312N <NX.EG8ER.017> (Intel Core i3 1005G1, 8 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000049
"Ноутбук Acer Extensa 15 EX 215-52-31VH <NX.EG8ER.010> (Intel Core i3 1005G1, 4 ГБ, 1 ТБ HDD, WiFi, BT, noOS, 15"")";LT-0000050
"Ноутбук Acer Extensa 15 EX 215-52-325A <NX.EG8ER.006> (Intel Core i3 1005G1, 4 ГБ, 256 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000051
"Ноутбук Acer Extensa 15 EX 215-52-33ZG <NX.EG8ER.01M> (Intel Core i3 1005G1, 8 ГБ, 512 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000052
"Ноутбук Acer Extensa 15 EX 215-52-34U4 <NX.EG8ER.014> (Intel Core i3 1005G1, 4 ГБ, 128 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000053
"Ноутбук Acer Extensa 15 EX 215-52-36UB <NX.EG8ER.005> (Intel Core i3 1005G1, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000054
"Ноутбук Acer Extensa 15 EX 215-52-37SE <NX.EG8ER.011> (Intel Core i3 1005G1, 4 ГБ, 1 ТБ HDD, WiFi, BT, noOS, 15"")";LT-0000055
"Ноутбук Acer Extensa 15 EX 215-52-50JT <NX.EG8ER.00A> (Intel Core i5 1035G1, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000056
"Ноутбук Acer Extensa 15 EX 215-52-519Y <NX.EG8ER.00E> (Intel Core i5 1035G1, 8 ГБ, 256 ГБ SSD, WiFi, BT, Win10Pro, 15"")";LT-0000057
"Ноутбук Acer Extensa 15 EX 215-52-54NE <NX.EG8ER.00W> (Intel Core i5 1035G1, 8 ГБ, 512 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000058
"Ноутбук Acer Extensa 15 EX 215-52-586W <NX.EG8ER.013> (Intel Core i5 1035G1, 4 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000059
"Ноутбук Acer Extensa 15 EX 215-52-58EX <NX.EG8ER.018> (Intel Core i5 1035G1, 4 ГБ, 256 ГБ SSD, WiFi, BT, Win10, 15"")";LT-0000060
"Ноутбук Acer Extensa 15 EX 215-52-7009 <NX.EG8ER.012> (Intel Core i7 1065G7, 8 ГБ, 256 ГБ SSD, WiFi, BT, noOS, 15"")";LT-0000061
