Name;SerialNumber
U4000 (U4112LAi): Celeron N5100 / 4 Гб / 128 Гб SSD / UHD Graphics;PC-0000001
U4000 (U411QWAi): Celeron N5100 / 8 Гб / 240 Гб SSD / UHD Graphics / WiFi / BT;PC-0000002
U4000 (U4187WAi): Celeron 4205U / 4 Гб / 500 Гб / UHD Graphics / WiFi / BT;PC-0000003
U4000 (U4189WAi): Celeron 4205U / 4 Гб / 256 Гб SSD / UHD Graphics / WiFi / BT;PC-0000004
U4000 (U4200LAi): Celeron N4505 / 4 Гб / 120 Гб SSD / UHD Graphics;PC-0000005
U4000 (U4201LAi): Celeron N4505 / 4 Гб / 120 Гб SSD / UHD Graphics;PC-0000006
U4000 (U4202LAi): Celeron N5105 / 4 Гб / 120 Гб SSD / UHD Graphics;PC-0000007
U4000 (U420QWAi): Celeron J4025 / 4 Гб / 240 Гб SSD / UHD Graphics 600 / WiFi / BT;PC-0000008
U6000 (U621LWAi): Core i3-10110U / 8 Гб / 256 Гб SSD / UHD Graphics / WiFi / BT;PC-0000009
U6000 (U6305WBi): Core i3-1115G4 / 8 Гб / 256 Гб SSD / UHD Graphics / WiFi / BT;PC-0000010
U6000 (U6370LAi): Core i3-10105 / 8 Гб / 256 Гб SSD / UHD Graphics 630;PC-0000011
Компьютер A4000-SLIM (A4194LNi): Celeron J4125 / 4 Гб / 128 Гб SSD / UHD Graphics 600;PC-0000012
Компьютер A4500 (A4352LNi): Celeron G5905 / 4 Гб / 1 Тб / UHD Graphics 610;PC-0000013
Компьютер A4500a (A4310LNa): A8 9600 / 4 Гб / 240 Гб SSD / RADEON R7;PC-0000014
Компьютер A6100 (A641GLNi): Pentium Gold G6405 / 8 Гб / 1 Тб / UHD Graphics 610 / DVDRW;PC-0000015
Компьютер A6100 (A641HLNi): Pentium Gold G6405 / 8 Гб / 240 Гб SSD / UHD Graphics 610 / Win10 Pro;PC-0000016
Компьютер B6100 (B634YLNi): Core i3-10105 / 8 Гб / 1 Тб / UHD Graphics 630 / DVDRW;PC-0000017
Компьютер B6100 (B634ZLNi): Core i3-10105 / 8 Гб / 256 Гб SSD / UHD Graphics 630 / Win10 Pro;PC-0000018
