Name;SerialNumber
5S 5S700i Источник бесперебойного питания Eaton 420Вт 700ВА черный;UPS-0000001
UPS 300VA PowerCom <WOW 300>;UPS-0000002
UPS 400VA CROWN Micro <CMU-500X IEC>;UPS-0000003
UPS 400VA Exegate <BNB-400> <EP285521RUS> защита телефонной линии / RJ45;UPS-0000004
UPS 400VA Exegate Power <BNB-400 Black> <244541>;UPS-0000005
UPS 400VA Exegate SpecialPro <UNB-400> <EP285523RUS> защита телефонной линии / RJ45;UPS-0000006
UPS 400VA Exegate SpecialPro <UNB-400> <EP285525RUS> Schuko;UPS-0000007
UPS 400VA Ippon Back Office 400 защита телефонной линии;UPS-0000008
UPS 400VA Ippon Back Verso 400 защита телефонной линии;UPS-0000009
UPS 400VA SVEN <Pro 400>;UPS-0000010
UPS 420VA Smart APC <SC420I> защита телефонной линии / RJ-45;UPS-0000011
UPS 450VA CyberPower <BS450 (E)>, USB;UPS-0000012
UPS 450VA Exegate Power <BNB-450 Black> <EP279215RUS>;UPS-0000013
UPS 450VA Exegate Power Back <BNB-450> <EP285537RUS> защита телефонной линии / RJ45;UPS-0000014
UPS 450VA Exegate SpecialPro <UNB-450> <EP285589RUS> защита телефонной линии / RJ45;UPS-0000015
UPS 450VA PowerCom Spider <SPD-450N Euro Black>;UPS-0000016
UPS 450VA ИМПУЛЬС <ЮНИОР 450>;UPS-0000017
UPS 500VA PowerCom <WOW 500U> USBзащита телефонной линии / RJ45;UPS-0000018
UPS 500VA Back APC <BX500CI>;UPS-0000019
UPS 500VA CROWN Micro <CMU-650X IEC>;UPS-0000020
UPS 500VA CROWN Micro <CMU-SP500 IEC> защита телефонной линии, RJ-45;UPS-0000021
UPS 500VA Ippon Back Power Pro II 500 LCDUSBзащита телефонной линии / RJ45;UPS-0000022
UPS 500VA PowerMAN Smart 500 INV, без АКБ;UPS-0000023
UPS 500VA SVEN <RT-500 Black> LCD, 1 евро розетка, без АКБ;UPS-0000024
UPS 525VA PowerCom Imperial <IMD-525AP> USBзащита телефонной линии / RJ45;UPS-0000025
UPS 550VA PowerCom Spider <SPD-550U LCD Euro> USB, защита телефонной линии / RJ45;UPS-0000026
UPS 600VA CyberPower <BU600E>;UPS-0000027
UPS 600VA CyberPower Value <VALUE600EI Black> защита телефонной линии, ComPort, USB;UPS-0000028
UPS 600VA Exegate Power <BNB-600 Black> <244543>;UPS-0000029
UPS 600VA Exegate Power Back <BNB-600> <EP285538RUS> защита телефонной линии / RJ45;UPS-0000030
UPS 600VA Exegate Power Smart <ULB-600 LCD> <212515> защита телефонной линии / RJ45, USB;UPS-0000031
UPS 600VA Exegate Power Smart <ULB-600> <EP285559RUS> LCD, защита телефонной линии / RJ45, USB;UPS-0000032
UPS 600VA Exegate Power Smart <ULB-600> <EP285566RUS> LCD;UPS-0000033
UPS 600VA Exegate SpecialPro <UNB-600> <EP285602RUS> защита телефонной линии / RJ45;UPS-0000034
UPS 600VA Exegate SpecialPro <UNB-600> <EP285603RUS> Schuko;UPS-0000035
UPS 600VA Exegate SpecialPro Smart <LLB-600> <EP285579RUS> LCD, защита телефонной линии / RJ45, USB;UPS-0000036
UPS 600VA Exegate SpecialPro Smart <LLB-600> <EP285580RUS> Schuko, LCD, защита телефонной линии / RJ45, USB;UPS-0000037
UPS 600VA Ippon Back Office 600 защита телефонной линии;UPS-0000038
UPS 600VA Ippon Back Power Pro II 600 LCDUSBзащита телефонной линии / RJ45;UPS-0000039
UPS 600VA Ippon Back Verso 600 защита телефонной линии;UPS-0000040
UPS 600VA PowerCom Raptor <RPT-600A Black>;UPS-0000041
UPS 600VA PowerCom Raptor <RPT-600A Euro Black>;UPS-0000042
UPS 600VA PowerCom Raptor <RPT-600AP Black> USBзащита телефонной линии / RJ45;UPS-0000043
UPS 600VA PowerCom Raptor <RPT-600AP EURO> USBзащита телефонной линии / RJ45;UPS-0000044
UPS 600VA PowerCom Raptor <RPT-600AP SE2> USBзащита телефонной линии / RJ45;UPS-0000045
UPS 600VA PowerMAN Back PRO 600 Plus, USB;UPS-0000046
UPS 600VA PowerMAN Back PRO 600I Plus, USB;UPS-0000047
UPS 600VA PowerMAN Brick 600, 6 евро розеток, защита телефонной линии / RJ45;UPS-0000048
UPS 600VA SVEN <Pro 600 Black>;UPS-0000049
UPS 600VA ИМПУЛЬС <МАСТЕР 600>;UPS-0000050
UPS 600VA ИМПУЛЬС <ЮНИОР Смарт 600> <JS60101>;UPS-0000051
UPS 600VA ИМПУЛЬС <ЮНИОР Смарт 600> <JS60114> USB;UPS-0000052
UPS 620VA Smart APC <SC620I> защита телефонной линии / RJ-45;UPS-0000053
UPS 625VA PowerCom Imperial <IMD-625AP> USBзащита телефонной линии / RJ45;UPS-0000054
UPS 625VA PowerCom Imperial <IMP-625AP> USBзащита телефонной линии / RJ45;UPS-0000055
UPS 650VA Back APC <BE650G2-RS> защита телефонной линии / RJ-45;UPS-0000056
UPS 650VA CROWN Micro <CMU-650X>;UPS-0000057
UPS 650VA CROWN Micro <CMU-SP650 COMBO> защита RJ-45;UPS-0000058
UPS 650VA CROWN Micro <CMU-SP650 EURO> защита телефонной линии, RJ-45;UPS-0000059
UPS 650VA CROWN Micro <CMU-SP650IEC USB> защита RJ-45, USB;UPS-0000060
UPS 650VA CyberPower <BS650E>, USB;UPS-0000061
